OTU	Mix2	Mix4	Mix5	Mix6	Mix8
seq0	826	493	260	172	80
seq1	3	0	0	0	0
seq10	4	0	1	0	0
seq100	1	1	0	0	0
seq1002	4	1	1	0	2
seq1003	1	0	0	1	0
seq1005	1	0	1	0	1
seq1007	2	3	0	0	0
seq1009	1	1	0	1	0
seq1010	2	1	2	0	0
seq1012	1	0	0	1	0
seq1020	1	2	0	1	0
seq1024	1	1	0	0	0
seq103	2	2	0	1	0
seq1032	3	0	2	1	1
seq1038	2	0	0	0	0
seq1039	2	0	0	0	0
seq1046	2	1	0	0	0
seq1047	3	0	0	0	0
seq105	3	1	1	0	0
seq1052	3	0	1	0	0
seq1053	3	1	0	0	0
seq1057	2	0	0	0	0
seq1058	1	0	1	0	0
seq1062	1	0	0	1	0
seq1066	1	0	0	1	0
seq107	2	0	0	0	0
seq1078	3	0	0	0	0
seq1081	1	1	1	0	1
seq1086	2	0	0	0	1
seq1088	31	19	13	7	3
seq1093	1	1	0	0	0
seq1101	1	0	1	0	0
seq1103	2	0	0	0	0
seq1106	3	1	0	0	1
seq1109	1	1	0	0	0
seq1110	1	2	1	1	0
seq1113	1	1	0	0	1
seq1114	2	1	0	1	0
seq112	1	0	0	1	1
seq1125	1	1	0	0	0
seq1128	2	0	0	0	0
seq1130	4	1	0	0	1
seq1132	1	0	1	0	0
seq1136	2	0	1	0	0
seq1137	2	0	1	0	0
seq1140	1	1	0	1	0
seq1141	3	0	0	0	0
seq1145	1	0	1	0	0
seq1149	2	1	0	0	0
seq1153	1	2	0	0	2
seq1154	3	3	0	0	0
seq1156	1	1	0	0	0
seq1157	1	2	0	0	0
seq1159	2	0	0	0	1
seq1160	3	0	0	0	0
seq1165	2	0	0	0	0
seq1167	2	0	0	0	0
seq1168	1	0	1	0	0
seq1169	1	1	1	0	0
seq117	1	1	0	0	0
seq1170	2	1	0	0	0
seq1171	2	0	0	0	0
seq1179	2	0	0	0	0
seq118	2	1	0	0	1
seq1182	1	0	0	1	0
seq1189	2	0	0	0	0
seq1190	4	0	0	0	0
seq1192	3	0	0	0	0
seq1196	2	1	2	1	0
seq1198	3	0	0	0	0
seq120	7	1	1	2	0
seq1213	2	1	0	0	0
seq1214	1	3	0	0	0
seq1217	3	0	0	0	0
seq122	2	0	0	0	0
seq1224	1	0	1	0	0
seq1225	3	0	0	0	0
seq1234	1	0	0	1	0
seq124	3	0	0	0	0
seq1243	1	2	0	0	0
seq1246	2	4	0	0	0
seq1247	2	1	0	0	0
seq125	24	15	4	0	2
seq1250	1	0	0	0	1
seq1256	4	0	0	0	0
seq1263	1	0	1	0	1
seq1268	1	2	0	0	0
seq1270	2	0	0	0	0
seq1273	2	0	0	0	0
seq1275	1	0	1	0	0
seq1278	2	0	0	0	0
seq1279	1	0	1	1	0
seq128	8	3	0	0	0
seq1281	1	0	0	0	1
seq1284	1	0	1	0	0
seq1285	2	0	0	0	0
seq1286	2	0	1	0	0
seq1291	2	1	0	0	0
seq1298	1	0	0	0	1
seq1300	1	0	0	1	0
seq1301	1	1	0	0	0
seq1302	2	1	0	0	0
seq1305	1	0	1	0	0
seq1307	1	0	1	0	0
seq1309	4	0	0	0	1
seq1317	1	1	0	0	1
seq1318	1	0	0	0	1
seq132	1	1	0	0	0
seq1321	1	2	0	0	0
seq1322	2	0	0	0	0
seq133	2	0	0	0	0
seq1339	3	0	0	0	0
seq1340	1	1	0	0	0
seq135	5	5	2	0	1
seq1350	3	0	1	0	0
seq1353	1	1	0	0	0
seq1356	1	0	0	1	0
seq1357	2	1	0	0	0
seq1362	1	1	0	1	0
seq1367	1	1	0	0	0
seq137	2	0	0	0	0
seq1372	3	0	1	0	0
seq1376	2	0	0	0	0
seq138	2	1	0	0	0
seq1381	1	0	1	0	0
seq1382	1	2	1	0	1
seq1385	1	0	2	0	0
seq1387	1	1	0	0	0
seq139	2	0	0	0	0
seq1392	1	0	0	1	0
seq1393	1	1	0	0	0
seq1394	1	0	1	0	0
seq1395	2	0	1	0	0
seq1396	1	2	1	0	0
seq1399	2	0	0	0	0
seq1402	2	0	0	0	1
seq1409	1	1	0	1	0
seq1412	1	1	0	0	0
seq1416	3	0	0	1	0
seq142	2	0	0	0	0
seq1427	1	3	0	1	0
seq1431	1	0	0	0	1
seq1433	1	1	0	0	0
seq1436	1	1	1	0	0
seq1437	1	0	0	0	1
seq1439	2	1	0	0	1
seq144	1	2	1	0	1
seq1441	1	0	1	0	0
seq145	2	0	0	0	0
seq1450	1	2	0	0	1
seq1452	2	0	0	0	0
seq1461	1	1	0	0	1
seq1467	3	0	0	0	0
seq1473	2	0	0	0	0
seq1474	1	1	0	0	0
seq1480	2	0	1	1	0
seq1485	2	2	0	0	0
seq1488	2	0	0	0	0
seq1489	1	0	1	0	0
seq149	2	0	1	0	0
seq1493	1	1	0	0	0
seq1495	2	4	0	0	1
seq1496	1	2	0	0	0
seq15	9	2	0	0	0
seq150	4	1	0	0	0
seq1501	1	0	0	0	1
seq1503	1	3	0	0	0
seq151	1	0	0	0	1
seq1513	2	0	0	0	0
seq1514	1	1	0	0	0
seq1519	1	0	0	0	1
seq152	2	2	0	0	0
seq1521	2	1	1	1	0
seq1525	2	2	1	0	0
seq1527	2	3	1	0	0
seq1535	9	6	2	1	2
seq1537	38	25	8	5	10
seq154	2	0	0	1	0
seq1540	3	2	1	1	0
seq1542	1	2	0	0	0
seq1555	1	1	0	0	0
seq1559	1	1	0	0	0
seq156	2	0	0	0	0
seq157	2	0	0	0	0
seq1576	1	1	1	0	0
seq1578	1	0	1	0	0
seq158	2	1	0	0	0
seq1580	1	3	1	0	0
seq1586	1	0	1	0	0
seq159	3	1	0	0	0
seq1591	1	0	0	1	0
seq1597	2	0	0	0	0
seq16	3	1	0	3	0
seq160	2	1	0	0	0
seq1608	1	0	1	0	0
seq1609	1	0	1	0	0
seq1610	1	0	1	0	0
seq1611	2	0	0	0	0
seq1618	1	0	1	0	0
seq162	5	1	0	1	0
seq1636	2	0	0	0	0
seq1638	3	2	0	0	0
seq1643	1	0	0	1	0
seq1644	1	2	0	1	0
seq1646	1	1	0	0	0
seq1648	1	0	0	0	1
seq1652	1	1	0	1	0
seq1656	1	1	0	0	0
seq166	1	0	1	0	0
seq1666	4	0	1	0	2
seq1667	1	0	0	1	0
seq1669	1	1	0	0	0
seq167	3	1	0	0	0
seq1670	2	0	0	0	0
seq1677	1	0	1	1	0
seq1679	2	0	0	0	0
seq168	2	2	0	0	0
seq1688	2	0	0	0	0
seq1689	1	0	1	0	0
seq1690	1	1	0	0	0
seq1694	3	4	2	0	0
seq17	2	1	0	0	1
seq170	4	1	0	1	0
seq1700	2	0	0	0	0
seq1701	2	1	1	1	0
seq1705	3	0	0	0	0
seq1707	1	0	0	0	1
seq1708	1	1	1	0	0
seq1709	1	0	0	0	1
seq1717	1	1	1	0	0
seq1723	2	0	0	0	0
seq1725	4	2	1	0	0
seq1729	1	3	0	0	1
seq173	2	0	0	0	0
seq1733	1	1	0	0	0
seq1736	1	0	0	0	1
seq1737	3	1	0	0	0
seq1739	2	0	0	0	2
seq174	2	0	0	0	0
seq1744	1	1	0	0	0
seq1746	1	2	0	0	2
seq1749	2	0	1	1	0
seq1751	2	1	0	0	0
seq1754	1	1	0	0	0
seq1759	2	1	1	0	0
seq1763	1	1	0	0	0
seq1766	1	2	1	0	0
seq1771	1	1	0	0	0
seq1773	2	0	0	0	0
seq1779	2	1	0	0	1
seq178	1	0	0	0	1
seq1780	1	1	0	0	0
seq1781	1	1	0	1	0
seq1789	1	0	3	1	0
seq1790	1	1	0	0	0
seq1792	1	0	0	0	1
seq1797	1	1	1	0	0
seq18	3	1	0	0	2
seq181	3	2	0	0	0
seq1810	2	0	0	0	0
seq1812	2	0	0	0	0
seq1819	1	0	0	1	1
seq183	6	0	2	0	0
seq1840	1	1	0	0	0
seq1846	1	2	0	0	0
seq1849	2	1	1	0	0
seq185	2	1	1	0	1
seq1850	2	1	0	0	1
seq1858	1	0	0	1	0
seq1860	1	0	1	0	0
seq1875	1	0	0	1	0
seq1876	1	3	1	0	1
seq1877	1	0	0	1	0
seq1880	1	3	0	1	1
seq1884	1	1	0	0	1
seq189	2	0	0	0	0
seq1893	2	1	1	1	1
seq1896	2	1	0	0	0
seq19	1	1	0	0	0
seq190	2	0	0	0	0
seq1904	1	0	2	0	0
seq1907	1	1	0	0	0
seq1909	1	0	1	0	0
seq191	8	2	1	2	0
seq1912	1	0	0	1	0
seq1913	2	0	0	0	0
seq1916	4	0	2	0	0
seq1917	1	2	0	0	1
seq192	2	0	0	0	0
seq1922	1	2	0	0	0
seq1936	2	0	0	1	0
seq1937	1	2	1	0	0
seq194	2	0	0	0	0
seq1940	1	0	1	0	0
seq1941	1	1	0	0	0
seq1949	1	0	1	0	0
seq195	3	2	0	0	0
seq1953	1	1	0	0	0
seq1957	2	0	0	0	0
seq1959	2	4	3	0	0
seq1960	1	2	0	0	0
seq1963	1	1	0	0	1
seq1969	1	0	1	0	2
seq1973	2	1	0	0	0
seq1975	2	0	0	1	0
seq1978	1	1	0	1	0
seq1982	1	0	1	0	0
seq1987	2	0	0	0	0
seq199	4	2	0	0	0
seq1990	1	1	0	0	0
seq1991	2	1	0	0	1
seq1997	1	1	0	1	1
seq2	802	562	234	106	89
seq20	20	11	3	2	0
seq200	2	0	1	0	0
seq2003	1	0	0	1	0
seq202	2	0	0	0	0
seq2020	1	1	0	0	0
seq2025	2	1	0	1	0
seq2029	4	1	1	0	0
seq2032	1	1	0	0	0
seq2033	1	1	1	0	0
seq2034	1	1	0	0	0
seq2038	1	1	0	0	0
seq2039	3	0	0	1	1
