OTU_ID	Even1	Even2	Even3	Uneven1	Uneven2	Uneven3
seq106	2484	2151	2341	3474	724	10
seq53	1019	768	1020	162	5876	51
seq86	1393	1885	1868	84	2479	1016
seq89	1221	837	1027	1976	2842	548
seq118	1747	1496	2060	560	294	2238
seq0	609	412	433	299	592	5136
seq7	820	595	665	80	4469	25
seq47	1579	1377	1549	96	70	934
seq17	572	399	583	2794	623	38
seq67	324	242	346	20	33	3713
seq38	660	689	881	1703	122	614
seq87	1390	1009	1383	68	62	287
seq62	479	400	444	16	43	2597
seq50	1342	1031	1336	23	101	8
seq60	885	662	876	675	4	340
seq48	402	302	322	23	16	2274
seq93	630	523	585	103	623	828
seq34	1209	1135	734	28	1	166
seq110	233	179	258	1908	4	565
seq65	834	617	994	311	3	0
seq6	262	215	253	626	36	1315
seq79	851	783	957	29	1	2
seq85	558	381	495	1020	2	125
seq72	329	335	511	805	65	297
seq28	227	202	241	1625	2	0
seq91	328	196	294	32	600	753
seq84	624	523	802	35	119	4
seq109	159	112	173	596	892	140
seq96	282	217	344	10	19	1018
seq74	497	358	466	12	16	541
seq10	499	401	545	379	0	49
seq71	223	204	38	31	1333	16
seq75	598	487	612	14	59	2
seq76	280	243	277	33	733	181
seq108	430	361	412	326	0	3
seq13	406	368	380	346	1	3
seq78	120	121	138	334	22	691
seq44	124	118	162	340	25	640
seq9	497	342	449	37	10	35
seq113	116	72	104	3	4	1024
seq57	472	414	333	60	0	3
seq64	101	79	119	328	536	73
seq8	79	51	69	3	22	1010
seq12	69	50	53	341	199	521
seq63	114	81	116	419	7	414
seq56	95	96	106	265	484	91
seq25	172	145	279	7	512	5
seq31	193	151	254	11	498	2
seq92	90	64	70	281	440	58
seq29	195	111	200	405	1	26
seq95	334	240	298	40	0	0
seq82	65	163	64	344	3	228
seq20	291	231	277	7	0	11
seq15	138	129	163	92	258	14
seq54	65	51	62	205	327	72
seq21	40	35	38	2	17	581
seq80	117	89	116	82	278	9
seq27	228	187	215	5	0	10
seq99	135	79	159	51	163	13
seq102	34	15	16	169	98	264
seq5	136	141	171	52	0	1
seq2	171	158	135	1	4	1
seq112	134	109	152	7	66	1
seq43	168	133	160	2	1	0
seq24	161	138	139	2	3	1
seq14	86	48	93	179	2	5
seq49	132	124	130	4	0	0
seq41	102	67	129	0	11	1
seq94	79	69	94	5	45	2
seq68	58	48	48	1	5	130
seq77	41	46	49	1	12	86
seq52	6	2	8	168	0	0
seq37	33	32	50	15	19	0
seq104	10	3	8	1	13	81
seq3	14	6	10	12	13	33
seq58	2	3	5	35	0	4
seq30	4	8	6	1	15	7
seq97	0	0	0	12	0	0
seq88	1	1	4	6	0	0
seq66	2	0	3	1	0	0
seq1	1	0	1	1	0	3
seq22	0	0	1	1	1	2
seq70	0	0	0	0	0	2
seq18	0	0	0	1	0	0
seq23	0	0	0	1	0	0
seq114	0	0	0	1	0	0
seq101	0	0	0	0	0	1
seq100	0	0	0	0	1	0
seq98	0	0	0	0	0	1
seq35	0	0	0	0	0	1
